name,fixture,minutes,opponent_team,round,total_points,value,was_home,GW
Eric_Dier_350,6,0,2,1,0,50,TRUE,1
Erik_Lamela_346,6,87,2,1,1,60,TRUE,1
Erik_Pieters_447,3,90,16,1,14,45,TRUE,1
Ethan_Ampadu_121,9,0,12,1,0,45,FALSE,1
Etienne_Capoue_373,7,90,4,1,2,50,TRUE,1
Ezri_Konsa Ngoyo_452,6,0,17,1,0,45,FALSE,1
Fabian_Delph_205,4,0,7,1,0,55,FALSE,1
Fabian_Schär_252,10,90,1,1,2,50,TRUE,1
Fabio Henrique_Tavares_197,1,90,14,1,2,55,TRUE,1
Fabián_Balbuena_382,8,90,11,1,-1,45,TRUE,1
Federico_Fernández_254,10,0,1,1,0,45,TRUE,1
Felipe Anderson_Pereira Gomes_390,8,65,11,1,1,70,TRUE,1
Fernando_Luiz Rosa_221,8,0,19,1,0,55,FALSE,1
Fikayo_Tomori_529,9,0,12,1,0,45,FALSE,1
Florian_Lejeune_257,10,0,1,1,0,45,TRUE,1
Florin_Andone_46,7,26,18,1,6,50,FALSE,1
Francisco_Femenía Far_357,7,90,4,1,1,45,TRUE,1
Fraser_Forster_317,3,0,5,1,0,45,FALSE,1
Frederick_Woodman_264,10,0,1,1,0,40,TRUE,1
Frederico_Rodrigues de Paula Santos_244,9,0,6,1,0,55,TRUE,1
Frédéric_Guilbert_458,6,0,17,1,0,45,FALSE,1
Gabriel Fernando_de Jesus_211,8,68,19,1,6,95,FALSE,1
Gabriel Teodoro_Martinelli Silva_504,10,6,13,1,1,45,FALSE,1
Gary_Cahill_503,4,0,8,1,0,45,TRUE,1
Gaëtan_Bong_41,7,0,18,1,0,45,FALSE,1
Georges-Kévin_Nkoudou_527,6,2,2,1,1,50,TRUE,1
George_Baldock_294,2,90,3,1,2,45,FALSE,1
Georginio_Wijnaldum_199,1,90,14,1,2,55,TRUE,1
Gerard_Deulofeu_363,7,45,4,1,1,65,TRUE,1
Giovani_Lo Celso_523,6,0,2,1,0,75,TRUE,1
Glenn_Murray_44,7,63,18,1,2,60,FALSE,1
Grady_Diangana_398,8,0,11,1,0,45,TRUE,1
Granit_Xhaka_18,10,90,13,1,2,55,FALSE,1
Grant_Hanley_277,1,90,10,1,-2,40,FALSE,1
Gylfi_Sigurdsson_151,4,78,7,1,3,80,FALSE,1
Hamza_Choudhury_180,5,60,20,1,3,45,TRUE,1
Harry_Kane_338,6,90,2,1,13,110,TRUE,1
Harry_Maguire_160,9,90,6,1,6,55,TRUE,1
Harry_Wilson_505,2,0,15,1,0,60,TRUE,1
Harry_Winks_347,6,63,2,1,2,55,TRUE,1
Harvey_Barnes_172,5,29,20,1,1,60,TRUE,1
Henrikh_Mkhitaryan_16,10,83,13,1,2,70,FALSE,1
Henri_Lansbury_35,6,0,17,1,0,45,FALSE,1
Heung-Min_Son_342,6,0,2,1,0,95,TRUE,1
Heurelho da Silva_Gomes_513,7,0,4,1,0,45,TRUE,1
Hugo_Lloris_340,6,90,2,1,3,55,TRUE,1
Héctor_Bellerín_2,10,0,13,1,0,55,FALSE,1
Hélder_Costa_418,5,0,9,1,0,50,FALSE,1
Ibrahim_Amadou_507,1,0,10,1,0,45,FALSE,1
Idrissa_Gueye_156,4,0,7,1,0,50,FALSE,1
Ilkay_Gündogan_222,8,11,19,1,1,55,FALSE,1
Isaac_Hayden_271,10,90,1,1,2,45,TRUE,1
Isaac_Success Ajayi_365,7,15,4,1,1,50,TRUE,1
Ismaïla_Sarr_525,7,0,4,1,0,65,TRUE,1
Issa_Diop_381,8,90,11,1,0,45,TRUE,1
Ivan_Cavaleiro_419,5,0,9,1,0,50,FALSE,1
Jack_Colback_482,10,0,1,1,0,45,TRUE,1
Jack_Cork_102,3,90,16,1,3,50,TRUE,1
Jack_Grealish_29,6,90,17,1,2,60,FALSE,1
Jack_O'Connell_293,2,90,3,1,2,45,FALSE,1
Jack_Simpson_66,2,0,15,1,0,40,TRUE,1
Jack_Stacey_446,2,0,15,1,0,45,TRUE,1
Jack_Stephens_308,3,72,5,1,1,45,FALSE,1
Jack_Wilshere_394,8,55,11,1,1,50,TRUE,1
Jacob_Murphy_483,10,0,1,1,0,50,TRUE,1
Jake_Eastwood_299,2,0,3,1,0,45,FALSE,1
Jamaal_Lascelles_258,10,90,1,1,2,45,TRUE,1
Jamal_Lewis_276,1,90,10,1,0,45,FALSE,1
James_Chester_23,6,0,17,1,0,45,FALSE,1
James_Garner_250,9,0,6,1,0,45,TRUE,1
James_Justin_433,5,0,20,1,0,50,TRUE,1
James_Maddison_171,5,90,20,1,3,70,TRUE,1
James_McArthur_138,4,90,8,1,3,55,TRUE,1
James_McCarthy_157,4,0,8,1,0,45,TRUE,1
James_Milner_200,1,4,14,1,1,55,TRUE,1
James_Tarkowski_84,3,90,16,1,6,50,TRUE,1
James_Tomkins_124,4,0,8,1,0,50,TRUE,1
James_Ward-Prowse_321,3,90,5,1,2,60,FALSE,1
Jamie_Vardy_166,5,90,20,1,2,90,TRUE,1
Jannik_Vestergaard_304,3,90,5,1,1,50,FALSE,1
Jan_Bednarek_307,3,90,5,1,1,45,FALSE,1
Jan_Vertonghen_330,6,0,2,1,0,55,TRUE,1
Javier_Hernández Balcázar_386,8,24,11,1,1,60,TRUE,1
Javier_Manquillo_256,10,90,1,1,2,45,TRUE,1
Jay_Rodriguez_451,3,6,16,1,1,60,TRUE,1
Jean-Philippe_Gbamin_497,4,45,7,1,1,50,FALSE,1
Jed_Steer_429,6,0,17,1,0,45,FALSE,1
Jefferson_Lerma_82,2,90,15,1,2,50,TRUE,1
Jeffrey_Schlupp_137,4,0,8,1,0,55,TRUE,1
Jeff_Hendrick_100,3,0,16,1,0,55,TRUE,1
Jesse_Lingard_241,9,85,6,1,2,65,TRUE,1
Jesús_Vallejo Lázaro_473,5,0,9,1,0,50,FALSE,1
Jetro_Willems_498,10,36,1,1,1,45,TRUE,1
Joelinton Cássio_Apolinário de Lira_466,10,90,1,1,2,60,TRUE,1
Joel_Matip_185,1,0,14,1,0,55,TRUE,1
Joel_Ward_126,4,90,8,1,6,45,TRUE,1
Joe_Hart_95,3,0,16,1,0,45,TRUE,1
Johann Berg_Gudmundsson_96,3,90,16,1,9,60,TRUE,1
John_Egan_295,2,90,3,1,2,45,FALSE,1
John_Fleck_301,2,90,3,1,1,50,FALSE,1
John_Lundstram_297,2,77,3,1,3,40,FALSE,1
John_McGinn_31,6,90,17,1,7,55,FALSE,1
John_Ruddy_412,5,0,9,1,0,45,FALSE,1
John_Stones_207,8,90,19,1,6,55,FALSE,1
Jonas_Lössl_479,4,0,7,1,0,45,FALSE,1
Jonathan_Castro Otto_402,5,90,9,1,5,55,FALSE,1
Jonathan_Kodjia_26,6,16,17,1,1,55,FALSE,1
Jonjo_Shelvey_269,10,53,1,1,1,50,TRUE,1
Jonny_Evans_162,5,90,20,1,7,50,TRUE,1
Jordan_Ayew_468,4,64,8,1,2,50,TRUE,1
Jordan_Henderson_198,1,90,14,1,2,55,TRUE,1
Jordan_Pickford_148,4,90,7,1,7,55,FALSE,1
Jordon_Ibe_78,2,0,15,1,0,50,TRUE,1
Jorge Luiz_Frello Filho_118,9,72,12,1,1,50,FALSE,1
Jose Luis_Mato Sanmartín_261,10,0,1,1,0,50,TRUE,1
Joseph_Gomez_184,1,90,14,1,2,55,TRUE,1
Joseph_Willock_490,10,63,13,1,3,50,FALSE,1
Joshua_King_68,2,90,15,1,2,65,TRUE,1
Josip_Drmic_434,1,7,10,1,1,55,FALSE,1
José Diogo_Dalot Teixeira_229,9,0,6,1,0,50,TRUE,1
José Heriberto_Izquierdo Mena_51,7,0,18,1,0,55,FALSE,1
José Ignacio_Peleteiro Romallo_36,6,31,17,1,1,60,FALSE,1
José Ángel_Esmorís Tasende_440,8,0,19,1,0,50,FALSE,1
José_Holebas_353,7,90,4,1,1,50,TRUE,1
João Filipe Iria_Santos Moutinho_415,5,90,9,1,3,55,FALSE,1
João Pedro Cavaco_Cancelo_518,8,0,19,1,0,55,FALSE,1
Juan_Foyth_335,6,0,2,1,0,50,TRUE,1
Juan_Mata_242,9,4,6,1,1,65,TRUE,1
Junior_Stanislas_77,2,0,15,1,0,60,TRUE,1
Jürgen_Locadia_45,7,63,18,1,2,55,FALSE,1
Karl_Darlow_263,10,0,1,1,0,45,TRUE,1
Kasper_Schmeichel_168,5,90,20,1,6,50,TRUE,1
Kayne_Ramsay_311,3,0,5,1,0,40,FALSE,1
Keinan_Davis_34,6,0,17,1,0,45,FALSE,1
Kelechi_Iheanacho_167,5,0,20,1,0,60,TRUE,1
Kenny_McLean_286,1,90,10,1,2,50,FALSE,1
Ken_Sema_372,7,0,4,1,0,50,TRUE,1
Kepa_Arrizabalaga_111,9,90,12,1,0,55,FALSE,1
Kevin_De Bruyne_215,8,78,19,1,7,95,FALSE,1
Kevin_Long_88,3,0,16,1,0,45,TRUE,1
Kieran_Tierney_515,10,0,13,1,0,55,FALSE,1
Kieran_Trippier_334,6,0,2,1,0,55,TRUE,1
Kieron_Freeman_292,2,0,3,1,0,45,FALSE,1
Konstantinos_Mavropanos_8,10,0,13,1,0,45,FALSE,1
Kortney_Hause_25,6,0,17,1,0,45,FALSE,1
Kurt_Zouma_459,9,90,12,1,-1,50,FALSE,1
Kyle_Walker-Peters_337,6,90,2,1,2,50,TRUE,1
Kyle_Walker_203,8,90,19,1,8,60,FALSE,1
Laurent_Koscielny_7,10,0,13,1,0,50,FALSE,1
Leander_Dendoncker_420,5,90,9,1,3,45,FALSE,1
Leandro_Trossard_421,7,0,18,1,0,60,FALSE,1
Lee_Grant_237,9,0,6,1,0,50,TRUE,1
Leighton_Baines_145,4,0,7,1,0,50,FALSE,1
Leon_Balogun_40,7,0,18,1,0,45,FALSE,1
Leroy_Sané_216,8,0,19,1,0,95,FALSE,1
Lewis_Cook_79,2,0,15,1,0,50,TRUE,1
Lewis_Dunk_42,7,90,18,1,11,45,FALSE,1
Lewis_Gibson_477,4,0,7,1,0,45,FALSE,1
Lloyd_Kelly_64,2,0,15,1,0,45,TRUE,1
Lovre_Kalinic_474,6,0,17,1,0,45,FALSE,1
Lucas_Digne_141,4,90,7,1,6,60,FALSE,1
Lucas_Rodrigues Moura da Silva_345,6,90,2,1,5,75,TRUE,1
Lucas_Torreira_19,10,0,13,1,0,50,FALSE,1
Lukasz_Fabianski_388,8,90,11,1,1,50,TRUE,1
Luka_Milivojevic_134,4,90,8,1,2,70,TRUE,1
Luke_Amos_351,6,0,2,1,0,45,TRUE,1
Luke_Dreher_140,4,0,8,1,0,45,TRUE,1
Luke_Freeman_441,2,12,3,1,1,55,FALSE,1
Luke_Shaw_226,9,90,6,1,6,55,TRUE,1
Lys_Mousset_70,2,0,3,1,0,50,FALSE,1
Maarten_Stekelenburg_149,4,0,7,1,0,40,FALSE,1
Mahmoud Ahmed_Ibrahim Hassan_465,6,58,17,1,1,55,FALSE,1
Mamadou_Sakho_125,4,0,8,1,0,50,TRUE,1
Manuel_Lanzini_391,8,90,11,1,2,65,TRUE,1
Marcos_Alonso_103,9,0,12,1,0,65,FALSE,1
Marcos_Rojo_227,9,0,6,1,0,50,TRUE,1
Marco_Stiepermann_285,1,57,10,1,1,55,FALSE,1
Marcus_Rashford_233,9,85,6,1,13,85,TRUE,1
Marc_Albrighton_174,5,14,20,1,1,55,TRUE,1
Marc_Navarro_360,7,0,4,1,0,40,TRUE,1
Mario_Lemina_324,3,0,5,1,0,50,FALSE,1
Mario_Vrancic_282,1,0,10,1,0,65,FALSE,1
Marko_Arnautovic_385,8,0,11,1,0,70,TRUE,1
Mark_Duffy_300,2,0,3,1,0,55,FALSE,1
Mark_Noble_396,8,0,11,1,0,50,TRUE,1
Mark_Travers_74,2,0,15,1,0,45,TRUE,1
Martin_Dubravka_262,10,90,1,1,2,50,TRUE,1
Martin_Kelly_128,4,90,8,1,6,40,TRUE,1
Martín_Montoya_38,7,90,18,1,6,45,FALSE,1
Marvelous_Nakamba_491,6,0,17,1,0,45,FALSE,1
Mason_Greenwood_234,9,4,6,1,1,45,TRUE,1
Mason_Holgate_478,4,0,7,1,0,45,FALSE,1
Mason_Mount_463,9,90,12,1,2,60,FALSE,1
Matej_Vydra_92,3,0,16,1,0,55,TRUE,1
Mateo_Kovacic_432,9,90,12,1,2,55,FALSE,1
Mathew_Ryan_47,7,90,18,1,9,45,FALSE,1
Matteo_Darmian_230,9,0,6,1,0,50,TRUE,1
Matteo_Guendouzi_21,10,90,13,1,3,45,FALSE,1
Matthew_Clarke_43,7,0,18,1,0,45,FALSE,1
Matthew_Lowton_85,3,90,16,1,6,45,TRUE,1
Matty_James_177,5,0,20,1,0,45,TRUE,1
Matt_Doherty_401,5,90,9,1,6,60,FALSE,1
Matt_Ritchie_251,10,90,1,1,2,55,TRUE,1
